"method","trait","RMSE"
"MICE","overall",25.0102328182852
"MICE","overall",3.49511781992766
"MICE","overall",1.20478172406396
"MICE","overall",2.88855588886898
"MICE","overall",3.90103262321383
"MICE","overall",0.185155237678339
"MICE","overall",8.23684602975954
"MICE","overall",0.821154715255508
"MICE","overall",4.47843996488973
"MICE","overall",2.75468529027175
"MICE","overall",0.0956060416644109
"MICE","overall",0.47253815552823
"MICE","overall",9.72537454077393
"MICE","overall",2.51763717619573
"MICE","overall",0.227573554276335
"MICE","overall",1.78077693019576
"MICE","overall",0.71814377263261
"MICE","overall",3.82034680526044
"MICE","overall",1.83149144359217
"MICE","overall",6.4308515680473
"MICE","overall",1.9131217874744
"MICE","overall",1.2475017553462
"MICE","overall",2.31792091856484
"MICE","overall",3.02259900660409
"MICE","overall",0.87838531886044
"MICE","overall",0.396867355257828
"MICE","overall",7.45358923919102
"MICE","overall",0.00393495432466049
"MICE","overall",2.11512910945418
"MICE","overall",0.0503867608178109
"MICE","overall",5.12199984127618
"MICE","overall",0.780308668471091
"MICE","overall",0.00784801494358607
"MICE","overall",0.0604763859999411
"MICE","overall",0.332405494523842
"MICE","overall",3.01519840651108
"MICE","overall",0.121740704198723
"MICE","overall",4.17672844084298
"MICE","overall",11.7699203818337
"MICE","overall",2.65940074897931
"MICE","overall",2.76703635875748
"MICE","overall",13.6269365664152
"MICE","overall",2.27287496840207
"MICE","overall",0.0119804544028536
"MICE","overall",5.96170857786311
"MICE","overall",5.31169362801028
"MICE","overall",3.53517444029847
"MICE","overall",6.76520115859264
"MICE","overall",7.75822597772774
"MICE","overall",0.0595899686186811
"MICE","overall",0.0177025660340409
"MICE","overall",0.119365955657377
"MICE","overall",2.2233034843207
"MICE","overall",0.363915195385721
"MICE","overall",6.4642036839272
"MICE","overall",0.030308108478361
"MICE","overall",5.24501720430305
"MICE","overall",1.68465461960086
"MICE","overall",0.756966759464786
"MICE","overall",1.06868318216765
"MICE","overall",0.152563709978001
"MICE","overall",5.83762144225081
"MICE","overall",2.62978003788898
"MICE","overall",0.00132935559774007
"MICE","overall",2.54799927301658
"MICE","overall",0.0529883052170841
"MICE","overall",2.74410923846013
"MICE","overall",3.26215809996936
"MICE","overall",0.00259781521075698
"MICE","overall",4.71292974894824
"MICE","overall",0.117555065391058
"MICE","overall",9.91198679330765
"MICE","overall",6.72160420090862
"MICE","overall",3.22641313694787
"MICE","overall",2.7183712301707
"MICE","overall",2.08041420353985
"MICE","overall",2.7073521747175
"MICE","overall",9.67431868706117
"MICE","overall",0.228720045194459
"MICE","overall",0.0621768859437907
"MICE","overall",7.35236217166308
"MICE","overall",1.69883668684165
"MICE","overall",0.451484356071656
"MICE","overall",0.970783165133884
"MICE","overall",4.28280206381327
"MICE","overall",0.210284835136809
"MICE","overall",7.29586218370087
"MICE","overall",1.33605529652079
"MICE","overall",0.131181567906418
"MICE","overall",1.0399459068909
"MICE","overall",0.306789539717428
"MICE","overall",1.47083341470123
"MICE","overall",0.145507748016018
"MICE","overall",12.280429226005
"MICE","overall",0.0740567273141473
"MICE","overall",3.45459232209614
"MICE","overall",6.87356457505297
"MICE","overall",0.340435780619982
"MICE","overall",0.123163246072008
"MICE","overall",0.00944878495931825
"MICE","overall",0.0347959778217416
"MICE","overall",2.17415869419544
"MICE","overall",5.33820129661315
"MICE","overall",0.136228422096265
"MICE","overall",0.571681742704521
"MICE","overall",7.19284265298772
"MICE","overall",0.204492935918382
"MICE","overall",2.11800768349182
"MICE","overall",6.50900382428173
"MICE","overall",15.0324161573827
"MICE","overall",0.246471605412206
"MICE","overall",0.0572011505158059
"MICE","overall",3.05058382316819
"MICE","overall",0.585633072860294
"MICE","overall",0.000421492100755578
"MICE","overall",2.49604361124318
"MICE","overall",0.156995156101061
"MICE","overall",0.116218550732489
"MICE","overall",4.51049726993584
"MICE","overall",0.581329055693513
"MICE","overall",6.94260551575015
"MICE","overall",0.615810855717702
"MICE","overall",6.45036684937842
"MICE","overall",1.00263359228566
"MICE","overall",15.2567218911428
"MICE","overall",0.0376755622256718
"MICE","overall",4.20103669403163
"MICE","overall",0.916571332582355
"MICE","overall",1.3830421189653
"MICE","overall",0.319235089343183
"MICE","overall",0.420470570543465
"MICE","overall",0.355284175570897
"MICE","overall",11.6162560419519
"MICE","overall",1.21711731164548
"MICE","overall",0.196546500992926
"MICE","overall",7.1233702696056
"MICE","overall",2.75576238580789
"MICE","overall",2.24231802105538
"MICE","overall",0.524750880035132
"MICE","overall",1.0612415543115
"MICE","overall",0.495892174128395
"MICE","overall",13.6795489561799
"MICE","overall",0.227873322262255
"MICE","overall",5.79561854068656
"MICE","overall",1.33623408222685
"MICE","overall",2.06825905353218
"MICE","overall",1.40871548745791
"MICE","overall",4.76039907626436
