"","species","Bark.thickness","Wood.density","SLA","Plant.height","Plant.lifespan","Seed.dry.mass"
"1","Abies_amabilis",0.177141496752412,NA,5.8456099143065,3.93710578579561,NA,3.68135118769314
"2","Abies_balsamea",NA,3.02529107579554,1.79175946922805,NA,5.29831736654804,2.18605127673809
"3","Abies_concolor",0.198194905950245,3.13983261752775,1.95857503826914,3.83530808120277,5.76832099579377,3.58905911883173
"4","Abies_grandis",NA,3.08190996979504,2.46172331433234,4.08471501324626,5.69421303325544,3.20680324363393
"5","Abies_procera",0.133656384812674,3.13983261752775,2.84839168565528,NA,6.33977124725855,3.47815842279828
"6","Acer_macrophyllum",-0.4949522746097,3.31054301339402,3.38601605966649,NA,5.29831736654804,4.89783979995091
"7","Acer_negundo",-0.146645580341485,3.36844448037978,NA,NA,4.46590811865458,3.65325227647079
"8","Acer_pensylvanicum",0.133656384812674,3.42100000895834,3.57068408971174,2.31018116961567,4.60517018598809,3.6609942506244
"9","Acer_rubrum",-0.340801594782442,3.42100000895834,NA,NA,5.01063529409626,NA
"10","Acer_saccharinum",-0.2390189004725,3.31054301339402,3.23497521146823,3.50227601312424,4.85463101964565,NA
"11","Arbutus_menziesii",NA,3.58905911883173,1.92509048761233,3.03353794754989,5.92692602597041,5.50533153593236
"12","Betula_alleghaniensis",-0.2390189004725,3.53514535417189,NA,NA,5.64615336181956,NA
"13","Betula_lenta",-0.271808723295491,NA,3.03831272108911,3.14988293909553,5.57972982598622,NA
"14","Betula_papyrifera",-0.377169238953317,3.39785848039664,NA,2.01692151534361,5.17190344169238,-1.14885350510486
"15","Carya_alba",0.0881940107359163,3.68637632389582,NA,2.588390380386,NA,8.95931161717244
"16","Carya_cordiformis",-0.0620881923134217,3.62167070442049,NA,3.35784695028221,NA,NA
"17","Carya_glabra",-0.0620881923134217,3.71843825635548,2.72636662650806,NA,5.7037824746562,7.81197342962202
"18","Celtis_laevigata",NA,3.42100000895834,2.94601972912265,NA,NA,5.33753807970132
"19","Cornus_florida",NA,3.51664970331358,3.21094130969271,1.89050721866233,4.8283137373023,4.61512051684126
"20","Fagus_grandifolia",NA,3.55248682920838,NA,3.41289341561139,5.80914298031403,5.65248918026865
"21","Fraxinus_nigra",-0.117658043468232,3.3357695763397,NA,3.07192139646752,5.65073325356639,4.06902675423781
"22","Juniperus_virginiana",-0.0354199452312604,3.31054301339402,0.456213987662182,NA,5.92692602597041,2.34180580614733
"23","Larix_laricina",-0.2390189004725,3.42100000895834,2.56447901609915,2.21777692352294,5.38506829295669,NA
"24","Larix_lyallii",NA,3.39785848039664,2.41457359494209,NA,6.51881947610387,1.26129787094521
"25","Larix_occidentalis",NA,3.39785848039664,2.2984766649495,3.93369130304334,6.68461172766793,1.13783300182139
"26","Liriodendron_tulipifera",0.0405659617466618,3.21486780347066,3.68320516071779,3.82014124188275,5.52146091786225,NA
"27","Picea_abies",-0.305710274971172,3.13983261752775,1.84331168842502,NA,6.09994518262542,NA
"28","Picea_engelmannii",-0.0894871665015362,3.02529107579554,1.19060363389521,3.61612057152951,NA,NA
"29","Picea_rubens",-0.146645580341485,3.13983261752775,2.69462718077007,3.09937716837564,5.94890492399353,1.16627093714192
"30","Pinus_albicaulis",-0.271808723295491,3.11351530921037,1.42911435830282,NA,6.79570577517351,5.03695260241363
"31","Pinus_clausa",-0.117658043468232,3.35689712276558,1.89529226562417,NA,4.60517018598809,NA
"32","Pinus_contorta",-0.340801594782442,3.16547504814109,1.19522041365582,3.26023102760768,NA,1.77155676191054
"33","Pinus_edulis",NA,NA,NA,2.6049094421827,NA,5.47646355193151
"34","Pinus_flexilis",-0.271808723295491,3.11351530921037,1.8545276742804,2.8415815853934,6.5510803350434,4.61512051684126
"35","Pinus_glabra",NA,3.24259235148552,NA,2.55429448770988,4.72738781871234,2.30158459266046
"36","Pinus_palustris",NA,3.51749783735832,1.21833802864446,2.80293744299606,NA,4.63472898822964
"37","Pinus_ponderosa",0.470128621433887,NA,1.71502168316866,3.71914305646921,6.25543008654245,3.6988297849671
"38","Pinus_rigida",0.133656384812674,NA,1.58719230348678,3.07797038494886,5.61677109766657,2.03861954715958
"39","Pinus_strobus",0.133656384812674,3.05400118167797,1.92686668209542,3.81288930728487,5.77680760122039,NA
"40","Pinus_sylvestris",NA,3.24259235148552,NA,NA,6.19610462006646,2.15871472257434
"41","Pinus_taeda",0.278237613623781,3.37758751602302,NA,NA,NA,3.26956893918372
"42","Pinus_virginiana",NA,3.3357695763397,1.52403905282105,NA,5.01063529409626,NA
"43","Platanus_occidentalis",-0.176498543491166,3.35689712276558,3.14759462286324,3.62100203171085,5.52146091786225,0.912282710476616
"44","Populus_grandidentata",NA,3.11351530921037,NA,2.80859917985928,4.60517018598809,-1.80788885115794
"45","Populus_heterophylla",0.2390169004705,NA,2.66305283517147,NA,4.38202663467388,1.10194007876078
"46","Populus_tremuloides",NA,3.08190996979504,2.6936362169546,1.79190029264531,5.05305600998021,NA
"47","Prunus_serotina",-0.271808723295491,NA,NA,NA,5.2257466737132,4.57264699428253
"48","Pseudotsuga_menziesii",0.470128621433887,3.34638914516716,NA,3.99371716101829,6.63769480351336,2.62466859216316
"49","Quercus_alba",0.0158733491562902,3.62167070442049,2.71883035257549,3.39415510963745,6.39692965521615,8.01301211036892
"50","Quercus_falcata",NA,3.56104608260405,2.4616516699749,2.60474520105358,5.01063529409626,6.73340189183736
"51","Quercus_laurifolia",-0.0894871665015362,3.55248682920838,2.59120225311505,2.60768223892001,NA,6.69703424766648
"52","Quercus_rubra",0.0646635133257221,NA,2.7539967068572,3.21849235135163,6.10924758276437,7.90470391387375
"53","Quercus_stellata",0.111183528960615,3.62167070442049,3.10778724624766,3.02529107579554,5.85793315448346,NA
"54","Robinia_pseudoacacia",NA,NA,3.73728099516014,2.85945425526136,NA,2.9338568698359
"55","Sassafras_albidum",-0.117658043468232,3.26575941076705,3.22029150232383,1.9683666746153,4.17438726989564,4.53903038348355
"56","Sequoia_sempervirens",0.721443049714793,NA,2.39953029905052,4.55561450738724,7.45505058335597,1.34547236659964
"57","Taxodium_distichum",-0.454130280089445,3.26575941076705,NA,3.59731226058845,6.75983514890551,NA
"58","Thuja_occidentalis",-0.454130280089445,2.89591193827178,1.50089946360264,2.99208929596162,NA,0.139761942375159
"59","Thuja_plicata",NA,2.96010509591084,6.22943266945646,3.93557676489336,6.86693328446188,0.285178942233662
"60","Tilia_americana",-0.00944445882799969,2.99573227355399,NA,2.51365606307399,5.29831736654804,3.70868208141012
"61","Tsuga_canadensis",-0.00944445882799969,3.16547504814109,2.39621850417088,NA,6.73054065955633,2.16561923792089
"62","Tsuga_heterophylla",1.5999934536061,3.26575941076705,NA,NA,NA,0.765467842139571
"63","Ulmus_americana",-0.2390189004725,3.35689712276558,2.31698097327778,NA,5.55425072778201,1.87640694328834
"64","Ulmus_rubra",-0.20727020215792,3.39785848039664,3.1456654005671,3.39450839351136,5.29831736654804,NA
