"AccSpeciesName","Leaf area","Leaf area per leaf dry mass (specific leaf area, SLA)","Leaf carbon (C) content per leaf area","Leaf carbon/nitrogen (C/N) ratio","Leaf dry mass","Leaf lifespan (longevity)","Leaf nitrogen (N) content per leaf area","Leaf nitrogen (N) content per leaf dry mass","Leaf nitrogen/phosphorus (N/P) ratio","Leaf phosphorus (P) content per leaf dry mass","Leaf photosynthesis rate per leaf area","Leaf photosynthesis rate per leaf dry mass","Leaf thickness","Leaf width","Plant height","Plant lifespan years","Rooting depth","Seed dry mass","Stem conduit lumen cross-sectional area (vessels and tracheids) per stem sapwood cross-sectional area","Stem diameter","Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)","Stomata conductance per leaf area"
"Abies amabilis",NA,345.713333333333,NA,NA,NA,NA,NA,12,NA,0.9,NA,NA,NA,0.2,47.8272962962963,497.5,0.9144,39.8200533729095,NA,1.03592916666667,0.42,NA
"Abies concolor",100.05,7.08921779793302,NA,NA,14.4145,NA,NA,NA,NA,NA,NA,NA,0.5965,0.234466666666667,40.6719487179487,320,1.016,36.0603170818343,NA,0.975,0.4,NA
"Abies grandis",150,11.725,10,NA,NA,NA,NA,14.6,13.27272727,1.55,NA,NA,NA,2.75,54.4834868421053,297.142857142857,NA,25.2781069279325,NA,1.02,0.42,NA
"Abies lasiocarpa",31.7473545,3.67270214766693,NA,NA,8.90714288888889,96,2.62,10.3,NA,NA,4.389727891,0.015777053632,NA,0.175,23.1557841666667,262.5,1.016,8.42646628806974,NA,0.55,0.32,81
"Abies magnifica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,40.146019047619,385,0.508,96.934094008473,NA,0.76,0.42,NA
"Abies procera",NA,17.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,46.9521298701299,566.666666666667,0.508,32.1676435704558,NA,0.99,0.4,NA
"Abies shastensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.242,NA,0.508,79.7356603388447,NA,NA,NA,NA
"Acer glabrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,8.4772,NA,0.6096,32.9513236937729,NA,NA,NA,NA
"Acer macrophyllum",14953,29.548,NA,NA,NA,NA,0.893461486,26.4,NA,NA,NA,NA,NA,25,22.2231285714286,200,0.6096,146.230988194748,0.11832,NA,0.47,NA
"Acer negundo",6351.33333333333,25.0594601953122,44.4,NA,429.9,NA,1.4789113195,27.1,NA,NA,NA,NA,NA,17.33,15.1352617989418,87,1.016,38.347210641644,0.12127,0.606666666666667,0.510333333333333,NA
"Acer platanoides",22857.3373006993,21.8408790719809,NA,NA,4361.69696969697,NA,NA,23.325,NA,3.05,NA,NA,0.125403751803752,15,20.2597711159211,233.333333333333,1.016,121.293176694481,NA,0.0442552320758682,0.507280702693004,NA
"Aesculus californica",1947,16.096,NA,NA,NA,NA,1.121935201,20.5,NA,4.6,NA,NA,NA,NA,9.12133333333333,NA,0.9144,36737.5019645733,0.12995,NA,0.48,NA
"Ailanthus altissima",NA,17.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5344791666667,41.6666666666667,0.762,32.9797981357889,NA,0.9,0.532031333333333,NA
"Alnus rhombifolia",3199,19.548,NA,NA,NA,NA,1.168045609,33.6,NA,NA,NA,NA,NA,3.5,21.6581333333333,NA,0.3048,0.572413658769839,0.15569,NA,0.52,NA
"Alnus rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,31.1026060606061,100,0.635,NA,NA,NA,0.43,NA
"Arbutus menziesii",4927,6.85576914011111,NA,53.3,NA,NA,1.3434060735,10.1066666666667,NA,NA,NA,NA,NA,NA,18.8465714285714,375,0.6096,244.332543446335,0.16095,1.21,0.57,NA
"Betula occidentalis",NA,16.15640599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,11.751,NA,0.508,0.653306655130145,NA,NA,NA,NA
"Betula papyrifera",4548.81286106352,20.1084326861066,NA,28.7,251.222222222222,3.6,1.80218342157143,15.92308625,11.64989596,1.58767083333333,16.6333333333333,0.333333333333333,NA,5.7,17.7926283950617,176.25,0.5048,0.315332636404857,NA,0.223415775750769,0.6,NA
"Calocedrus decurrens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.676637037037,556,1.524,39.0434901690496,NA,2,NA,NA
"Cercocarpus ledifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,7.23733333333333,1350,0.508,9.72250717578598,0.0816814089933346,0.6,NA,NA
"Chamaecyparis lawsoniana",NA,NA,NA,NA,NA,NA,NA,9.2,15.33333333,0.6,NA,NA,NA,NA,43.68335,543.333333333333,1.524,2.94186358836669,NA,1.7,0.425,NA
"Chamaecyparis nootkatensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2560,NA,2.59166666666667,NA,1.16666666666667,0.46,NA
"Chrysolepis chrysophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5232,NA,1.2192,473.387658276125,NA,NA,NA,NA
"Cornus nuttallii",NA,35.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45,15.9629333333333,NA,0.3048,90.7806968855998,NA,0.61,0.58,NA
"Cupressus bakeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8333333333333,NA,NA,NA,NA,0.6,NA,NA
"Cupressus sargentii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8333333333333,NA,NA,NA,NA,0.9,NA,NA
"Elaeagnus angustifolia",NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31666666666667,8.66596428571428,NA,0.508,118.88551848107,NA,1,0.481693,NA
"Eucalyptus globulus",NA,11.1298883003639,NA,NA,NA,NA,NA,9.6,NA,1.3,12.3125,NA,NA,3.5,42.9515366300366,NA,0.6096,21.0859500805153,0.113490034610931,NA,0.721969394,NA
"Fraxinus latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.75472,250,0.6096,39.6938683746823,NA,NA,0.58,NA
"Fraxinus velutina",NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5372,NA,0.6096,20.8076832700155,NA,NA,NA,NA
"Juglans californica",1844,43.186,NA,NA,NA,NA,0.433010698,18.7,NA,NA,NA,NA,NA,NA,9.97173333333333,100,NA,9086.16,0.17403,NA,0.51,NA
"Juglans hindsii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.828,NA,NA,9068.04,NA,NA,NA,NA
"Juniperus californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4375,250,NA,NA,NA,0.45,NA,NA
"Juniperus occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9884525,1833.33333333333,0.3048,41.8215213017909,NA,0.6,NA,NA
"Juniperus osteosperma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.95074920634921,650,0.508,86.8120664605401,NA,0.6,NA,NA
"Juniperus scopulorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0266666666667,1470,0.508,17.4739891797087,NA,0.375,NA,NA
"Larix lyallii",NA,11.185,23.8,24.5666666666667,NA,NA,1.645,19.31,NA,NA,NA,NA,5,0.335,16.3596444444444,677.777777777778,0.9144,3.49622710534319,NA,0.7,NA,NA
"Larix occidentalis",NA,9.959,21.8,29.7,NA,NA,1.59293488828571,16.5655555555556,NA,NA,NA,NA,5,0.06,44.8091111111111,800,0.508,3.14802074813989,NA,1.11666666666667,0.535,NA
"Liquidambar styraciflua",6817.44444444444,19.0211651068049,NA,NA,396.426666666667,NA,1.61473684210526,10.2038095238095,5.206896552,1.0375,15.3421052631579,NA,NA,10.625,25.0276698412698,NA,0.9144,6.0419719099994,0.320736974977433,0.14,0.53,NA
"Lithocarpus densiflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.979,276.666666666667,0.9144,4568.95190125897,NA,NA,0.71,NA
